Pattern,Frequency,Repetitions,Unpleasant-Pleasant,Weak-Strong,Calm-Excitable,Cluster,Selected
Circle,250.0000,4.0000,3.6842,2.2632,2.8421,1,False
Circle,250.0000,8.0000,3.5789,1.9474,3.3158,1,False
Point,250.0000,8.0000,3.5263,1.5263,3.0526,1,False
Circle,125.0000,4.0000,3.8947,2.4737,2.8947,1,False
Circle,125.0000,8.0000,3.8421,2.9474,3.7895,1,True
Point,125.0000,4.0000,3.4737,2.4211,2.9474,1,False
Point,125.0000,8.0000,3.1579,2.7368,3.8947,1,False
Brush,125.0000,4.0000,4.1053,3.8947,3.6842,2,False
Random,250.0000,1.0000,3.4211,4.3684,4.7895,2,False
Brush,250.0000,4.0000,4.1053,4.1579,4.1579,2,False
Brush,250.0000,8.0000,3.8947,4.5789,4.7895,2,False
Random,125.0000,8.0000,3.5789,4.0526,4.8421,2,False
Random,125.0000,4.0000,3.5789,3.5263,4.1579,2,False
Random,125.0000,1.0000,3.4211,4.2632,4.3684,2,False
Random,250.0000,4.0000,3.5789,3.6316,4.1053,2,False
Brush,125.0000,8.0000,3.5000,4.1111,4.2778,2,False
Random,250.0000,8.0000,3.4737,3.7895,4.4737,2,True
Random,16.0000,8.0000,3.7368,3.6842,4.6316,2,False
Random,16.0000,4.0000,3.5789,3.7895,4.6316,2,False
Random,16.0000,1.0000,3.9474,3.8421,4.6316,2,False
Brush,16.0000,8.0000,4.0526,4.4211,4.5789,2,False
Brush,16.0000,4.0000,3.8421,4.1053,3.7895,2,False
Circle,16.0000,1.0000,3.8750,0.1250,0.8750,3,False
Point,16.0000,4.0000,3.5000,0.0833,1.9167,3,False
Point,16.0000,8.0000,3.2000,0.2000,1.6667,3,True
Point,16.0000,1.0000,3.8571,0.1429,0.2857,3,False
Circle,16.0000,8.0000,3.2353,0.4118,1.9412,3,False
Circle,16.0000,4.0000,2.8333,0.0000,1.7500,3,False
Brush,125.0000,1.0000,4.5789,3.8421,2.2632,4,True
Brush,250.0000,1.0000,4.4737,4.1053,2.2105,4,False
Brush,16.0000,1.0000,4.7895,3.8421,2.4211,4,False
Circle,125.0000,1.0000,4.7368,2.9474,2.3684,4,False
Point,250.0000,1.0000,3.3684,1.6842,1.8947,5,True
Circle,250.0000,1.0000,4.5263,2.2105,1.8421,5,False
Point,250.0000,4.0000,3.2632,1.5263,2.1579,5,False
Point,125.0000,1.0000,4.0000,2.4211,2.0526,5,False
